<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.14	20:00:00	27104.97	27134.98	26854.88	27047.41	8288	0	1700
2022.02.15	00:00:00	27061.14	27065.50	26920.58	26961.48	4463	0	900
2022.02.15	04:00:00	26958.97	27023.55	26714.03	26848.06	7650	0	900
2022.02.15	08:00:00	26848.08	27249.22	26829.12	27224.23	6532	0	900
2022.02.15	12:00:00	27226.73	27304.23	27154.20	27244.18	5195	0	1700
2022.02.15	16:00:00	27239.18	27414.19	27224.17	27344.16	6624	0	1700
2022.02.15	20:00:00	27344.16	27464.15	27334.16	27409.14	3607	0	1700
2022.02.16	00:00:00	27381.01	27416.05	27342.92	27377.26	3085	0	900
2022.02.16	04:00:00	27379.76	27473.37	27377.26	27472.21	4146	0	900
2022.02.16	08:00:00	27472.23	27555.37	27400.35	27427.84	3956	0	900
2022.02.16	12:00:00	27430.34	27442.84	27302.77	27317.77	3817	0	1700
2022.02.16	16:00:00	27320.27	27357.77	27262.75	27327.73	6619	0	1700
2022.02.16	20:00:00	27325.23	27517.75	27312.72	27445.22	5705	0	1700
2022.02.17	00:00:00	27365.15	27407.09	27296.66	27316.63	3002	0	900
2022.02.17	04:00:00	27319.13	27438.33	27069.71	27236.33	9257	0	900
2022.02.17	08:00:00	27236.31	27322.32	27137.32	27172.32	6069	0	900
2022.02.17	12:00:00	27172.32	27252.44	27104.93	27117.43	3993	0	1700
2022.02.17	16:00:00	27117.43	27197.43	27042.43	27087.43	7458	0	1700
2022.02.17	20:00:00	27084.93	27092.43	26867.43	26892.43	3983	0	1700
2022.02.18	00:00:00	26868.27	27117.52	26789.67	27057.95	5217	0	900
2022.02.18	04:00:00	27060.44	27214.07	27050.42	27121.92	7191	0	900
2022.02.18	08:00:00	27124.39	27130.38	27035.70	27080.70	4261	0	900
2022.02.18	12:00:00	27080.70	27090.70	26883.22	26975.71	4306	0	1700
2022.02.18	16:00:00	26975.71	26995.72	26783.23	26800.73	10444	0	1700
2022.02.18	20:00:00	26803.23	26965.73	26775.74	26875.74	6922	0	1700
2022.02.21	00:00:00	26585.20	27001.02	26552.89	26949.66	6603	0	900
2022.02.21	04:00:00	26949.67	26983.42	26876.11	26904.21	6676	0	900
2022.02.21	08:00:00	26906.71	27029.00	26832.46	26842.46	5050	0	900
2022.02.21	12:00:00	26842.46	26852.46	26592.46	26687.46	6201	0	1700
2022.02.21	16:00:00	26684.96	26757.67	26595.17	26600.17	6115	0	1700
2022.02.22	00:00:00	26487.25	26550.50	26335.50	26348.00	4755	0	900
2022.02.22	04:00:00	26345.50	26493.00	26240.50	26458.00	7358	0	900
2022.02.22	08:00:00	26448.00	26664.00	26374.00	26591.50	7888	0	900
2022.02.22	12:00:00	26594.00	26854.00	26586.50	26781.50	6652	0	1700
2022.02.22	16:00:00	26784.00	26924.00	26639.00	26649.00	9555	0	1700
2022.02.22	20:00:00	26651.50	26854.00	26509.00	26716.50	9068	0	1700
2022.02.23	00:00:00	26778.00	26800.50	26698.00	26760.50	1266	0	900
2022.02.23	04:00:00	26760.50	26805.50	26708.00	26775.50	2359	0	900
