<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.09	20:00:00	4118.46	4127.72	4111.29	4127.47	7649	0	40
2022.08.10	00:00:00	4126.60	4127.97	4118.60	4118.85	2090	0	60
2022.08.10	04:00:00	4119.35	4126.11	4117.93	4121.67	3092	0	60
2022.08.10	08:00:00	4121.42	4138.17	4111.72	4135.70	5622	0	60
2022.08.10	12:00:00	4135.95	4200.08	4128.68	4190.29	6979	0	60
2022.08.10	16:00:00	4190.54	4210.09	4176.97	4200.17	13409	0	40
2022.08.10	20:00:00	4200.54	4211.54	4193.37	4208.84	6515	0	40
2022.08.11	00:00:00	4207.88	4220.01	4203.77	4219.01	1302	0	60
2022.08.11	04:00:00	4218.89	4221.78	4215.28	4216.59	2486	0	60
2022.08.11	08:00:00	4216.34	4229.69	4210.67	4216.03	5626	0	60
2022.08.11	12:00:00	4216.02	4243.50	4214.03	4241.87	5677	0	60
2022.08.11	16:00:00	4242.12	4258.06	4219.78	4232.46	12733	0	40
2022.08.11	20:00:00	4232.71	4238.63	4200.94	4216.12	9022	0	40
2022.08.12	00:00:00	4216.38	4218.13	4205.67	4206.42	2452	0	60
2022.08.12	04:00:00	4206.67	4214.97	4206.18	4212.76	3144	0	60
2022.08.12	08:00:00	4212.52	4234.61	4212.27	4228.51	5003	0	60
2022.08.12	12:00:00	4228.51	4232.72	4217.40	4229.09	4320	0	60
2022.08.12	16:00:00	4229.09	4251.95	4218.47	4250.09	12080	0	40
2022.08.12	20:00:00	4250.09	4279.95	4248.86	4278.11	3961	0	40
2022.08.15	00:00:00	4274.76	4276.13	4266.37	4269.38	2604	0	60
2022.08.15	04:00:00	4269.25	4273.63	4265.77	4269.44	2500	0	60
2022.08.15	08:00:00	4269.69	4271.44	4256.23	4258.73	4132	0	60
2022.08.15	12:00:00	4258.73	4260.73	4246.48	4246.73	3716	0	60
2022.08.15	16:00:00	4246.73	4297.33	4246.48	4296.20	9116	0	40
2022.08.15	20:00:00	4296.33	4301.33	4289.33	4292.42	4985	0	40
2022.08.16	00:00:00	4291.85	4293.98	4287.48	4288.98	1502	0	60
2022.08.16	04:00:00	4289.23	4297.48	4284.48	4292.48	2277	0	60
2022.08.16	08:00:00	4292.60	4296.48	4282.48	4292.98	4476	0	60
2022.08.16	12:00:00	4293.10	4294.98	4281.23	4284.98	4447	0	60
2022.08.16	16:00:00	4284.98	4313.19	4277.26	4306.33	10169	0	40
2022.08.16	20:00:00	4306.58	4325.20	4289.58	4307.77	7033	0	40
2022.08.17	00:00:00	4306.30	4309.29	4300.54	4305.06	2078	0	60
2022.08.17	04:00:00	4304.94	4308.12	4301.09	4307.62	3009	0	60
2022.08.17	08:00:00	4307.87	4311.87	4287.10	4287.85	5128	0	60
2022.08.17	12:00:00	4287.60	4290.60	4263.02	4266.10	7142	0	60
