<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.01	16:00:00	6450.10	6483.65	6424.70	6433.19	13095	0	80
2022.08.01	20:00:00	6432.94	6450.19	6412.94	6444.94	4908	0	80
2022.08.02	08:00:00	6415.16	6424.41	6392.35	6405.32	7837	0	80
2022.08.02	12:00:00	6405.32	6418.67	6379.76	6418.16	7544	0	80
2022.08.02	16:00:00	6418.41	6434.45	6400.27	6430.20	13666	0	80
2022.08.02	20:00:00	6429.95	6430.20	6382.44	6383.94	5421	0	80
2022.08.03	08:00:00	6404.93	6423.66	6395.93	6416.97	7281	0	80
2022.08.03	12:00:00	6416.97	6458.29	6415.49	6456.30	6521	0	80
2022.08.03	16:00:00	6456.05	6486.76	6444.29	6482.51	11231	0	80
2022.08.03	20:00:00	6482.76	6490.26	6471.76	6480.26	3533	0	80
2022.08.04	08:00:00	6484.50	6511.69	6472.22	6497.79	6605	0	80
2022.08.04	12:00:00	6497.79	6556.26	6490.85	6522.59	8749	0	80
2022.08.04	16:00:00	6522.58	6528.75	6492.27	6504.74	14097	0	80
2022.08.04	20:00:00	6504.49	6516.49	6498.24	6502.24	3333	0	80
2022.08.05	08:00:00	6519.97	6523.47	6478.78	6483.64	5481	0	80
2022.08.05	12:00:00	6483.89	6492.80	6452.38	6462.76	8569	0	80
2022.08.05	16:00:00	6462.51	6499.81	6448.34	6485.47	13762	0	80
2022.08.05	20:00:00	6485.72	6504.47	6473.97	6493.97	3933	0	80
2022.08.08	08:00:00	6500.06	6525.95	6494.08	6506.19	6182	0	80
2022.08.08	12:00:00	6506.18	6552.64	6502.56	6551.15	6268	0	80
2022.08.08	16:00:00	6551.65	6566.31	6498.20	6513.45	12161	0	80
2022.08.08	20:00:00	6512.95	6519.95	6498.44	6511.19	4351	0	80
2022.08.09	08:00:00	6509.93	6530.06	6504.18	6522.12	5492	0	80
2022.08.09	12:00:00	6522.12	6527.96	6483.45	6497.21	7256	0	80
2022.08.09	16:00:00	6497.71	6514.01	6478.28	6480.53	12390	0	80
2022.08.09	20:00:00	6480.28	6492.03	6475.28	6484.27	3365	0	80
2022.08.10	08:00:00	6473.26	6500.37	6450.37	6492.95	6032	0	80
2022.08.10	12:00:00	6493.20	6547.05	6480.08	6533.83	7859	0	80
2022.08.10	16:00:00	6533.58	6542.52	6511.62	6514.38	12320	0	80
2022.08.10	20:00:00	6514.63	6536.63	6510.63	6533.63	3006	0	80
2022.08.11	08:00:00	6542.38	6569.13	6519.29	6528.17	7206	0	80
2022.08.11	12:00:00	6528.42	6538.04	6498.81	6522.25	8702	0	80
2022.08.11	16:00:00	6522.50	6545.27	6507.41	6540.77	11423	0	80
2022.08.11	20:00:00	6541.02	6553.27	6518.76	6528.51	2966	0	80
2022.08.12	08:00:00	6538.72	6586.60	6536.47	6565.02	5819	0	80
2022.08.12	12:00:00	6565.01	6586.45	6541.89	6564.16	7529	0	80
2022.08.12	16:00:00	6564.16	6575.00	6537.62	6573.00	10518	0	80
2022.08.12	20:00:00	6573.00	6604.25	6571.75	6604.25	2123	0	80
2022.08.15	08:00:00	6588.78	6592.76	6547.11	6566.40	4466	0	80
2022.08.15	12:00:00	6566.65	6572.08	6531.84	6537.41	5946	0	80
2022.08.15	16:00:00	6537.41	6589.63	6537.16	6588.13	9038	0	80
2022.08.15	20:00:00	6588.13	6601.66	6582.90	6598.41	2042	0	80
2022.08.16	08:00:00	6590.77	6608.95	6573.78	6602.36	6582	0	80
2022.08.16	12:00:00	6601.86	6602.86	6569.55	6574.05	7107	0	80
2022.08.16	16:00:00	6573.80	6607.73	6566.85	6601.98	10537	0	80
2022.08.16	20:00:00	6602.23	6622.99	6592.99	6616.00	3757	0	80
2022.08.17	08:00:00	6622.30	6623.81	6567.23	6572.29	6370	0	80
2022.08.17	12:00:00	6572.29	6580.59	6538.44	6539.42	8142	0	80
2022.08.17	16:00:00	6539.18	6547.93	6509.97	6539.98	10668	0	80
2022.08.17	20:00:00	6539.73	6564.23	6534.22	6543.97	6763	0	80
2022.08.18	08:00:00	6528.96	6546.91	6516.21	6541.83	5990	0	80
2022.08.18	12:00:00	6542.08	6576.72	6536.70	6541.94	6665	0	80
2022.08.18	16:00:00	6542.43	6563.00	6521.78	6544.99	10250	0	80
2022.08.18	20:00:00	6545.24	6571.24	6543.74	6558.74	3946	0	80
2022.08.19	08:00:00	6540.49	6547.65	6503.23	6517.67	8949	0	80
2022.08.19	12:00:00	6517.66	6549.44	6501.61	6517.86	11523	0	80
2022.08.19	16:00:00	6518.11	6534.20	6487.04	6509.49	12630	0	80
2022.08.19	20:00:00	6509.74	6511.74	6484.49	6494.99	3335	0	80
2022.08.22	08:00:00	6472.23	6474.86	6369.80	6393.42	10441	0	80
2022.08.22	12:00:00	6393.17	6423.84	6378.15	6389.48	9958	0	80
2022.08.22	16:00:00	6389.98	6396.31	6351.70	6380.72	12641	0	80
2022.08.22	20:00:00	6380.97	6382.98	6347.72	6360.72	2767	0	80
2022.08.23	08:00:00	6353.71	6402.10	6319.45	6380.38	9235	0	80
2022.08.23	12:00:00	6380.37	6392.79	6349.50	6356.93	9009	0	80
2022.08.23	16:00:00	6357.43	6386.50	6345.33	6373.23	13994	0	80
2022.08.23	20:00:00	6373.48	6376.23	6340.23	6353.72	3750	0	80
2022.08.24	08:00:00	6343.46	6366.66	6318.12	6361.82	9081	0	80
2022.08.24	12:00:00	6362.32	6380.00	6342.58	6367.17	8593	0	80
2022.08.24	16:00:00	6367.42	6398.12	6358.84	6373.87	11668	0	80
2022.08.24	20:00:00	6374.37	6387.87	6365.87	6376.12	3015	0	80
2022.08.25	08:00:00	6403.11	6446.19	6402.89	6423.08	7691	0	80
2022.08.25	12:00:00	6422.58	6424.82	6370.42	6377.57	9655	0	80
2022.08.25	16:00:00	6377.07	6407.56	6359.86	6381.05	11155	0	80
2022.08.25	20:00:00	6381.30	6418.55	6377.80	6418.55	3055	0	80
2022.08.26	08:00:00	6409.04	6430.49	6375.04	6383.10	7214	0	80
2022.08.26	12:00:00	6383.11	6385.87	6350.63	6381.48	9771	0	80
2022.08.26	16:00:00	6381.73	6402.76	6246.37	6270.13	21972	0	80
2022.08.26	20:00:00	6269.88	6275.13	6220.62	6225.62	6324	0	80
2022.08.29	08:00:00	6179.27	6221.01	6167.21	6167.96	8989	0	80
2022.08.29	12:00:00	6168.21	6206.69	6152.23	6194.02	10629	0	80
2022.08.29	16:00:00	6194.52	6248.36	6192.26	6246.61	14953	0	80
2022.08.29	20:00:00	6247.11	6253.61	6231.10	6233.10	5701	0	80
2022.08.30	08:00:00	6251.34	6301.67	6234.92	6286.38	9644	0	80
2022.08.30	12:00:00	6286.63	6304.57	6254.74	6255.73	10329	0	80
2022.08.30	16:00:00	6255.49	6262.72	6179.45	6186.70	19922	0	80
2022.08.30	20:00:00	6186.95	6202.69	6171.44	6186.94	7552	0	80
2022.08.31	08:00:00	6228.68	6248.70	6162.38	6175.70	10230	0	80
2022.08.31	12:00:00	6175.70	6193.29	6132.78	6188.85	14659	0	80
2022.08.31	16:00:00	6188.60	6203.65	6114.39	6121.92	19111	0	80
2022.08.31	20:00:00	6121.67	6133.42	6097.41	6100.90	8241	0	80
2022.09.01	08:00:00	6077.36	6077.36	6016.56	6024.18	10553	0	80
2022.09.01	12:00:00	6024.43	6063.96	6014.37	6042.38	11583	0	80
2022.09.01	16:00:00	6042.13	6046.68	6007.74	6033.93	17753	0	80
2022.09.01	20:00:00	6034.18	6088.93	6032.43	6087.43	6825	0	80
2022.09.02	08:00:00	6059.14	6090.67	6043.64	6081.64	9198	0	80
