<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.06.15	2092.40	2092.40	2072.00	2084.50	27518	0	0
2015.06.16	2083.00	2098.80	2070.60	2098.30	22759	0	0
2015.06.17	2097.50	2107.50	2087.00	2097.00	27419	0	0
2015.06.18	2096.50	2127.70	2090.10	2122.30	25900	0	0
2015.06.19	2121.60	2126.20	2108.00	2108.00	17341	0	0
2015.06.22	2111.90	2130.40	2111.40	2123.20	20578	0	0
2015.06.23	2122.50	2128.80	2119.50	2125.00	16129	0	0
2015.06.24	2125.60	2126.70	2106.70	2108.60	22622	0	0
2015.06.25	2109.20	2121.10	2100.60	2102.10	21091	0	0
2015.06.26	2102.40	2109.00	2094.70	2102.00	22056	0	0
2015.06.29	2070.20	2091.20	2055.50	2061.50	39538	0	0
2015.06.30	2059.90	2076.80	2054.90	2065.80	38301	0	0
2015.07.01	2062.60	2086.00	2062.60	2080.00	27901	0	0
2015.07.02	2078.60	2087.30	2070.00	2077.10	18448	0	0
2015.07.03	2076.10	2080.10	2071.20	2074.20	11024	0	0
2015.07.06	2043.30	2078.80	2042.90	2075.50	32324	0	0
2015.07.07	2074.60	2086.30	2043.20	2081.80	37766	0	0
2015.07.08	2080.90	2082.00	2043.70	2046.30	50452	0	0
2015.07.09	2046.30	2075.40	2045.40	2048.90	10814	0	40
2015.07.10	2048.50	2081.80	2047.20	2076.30	27918	0	0
2015.07.13	2061.70	2101.80	2059.50	2100.60	26813	0	0
2015.07.14	2100.90	2112.60	2097.30	2109.60	11930	0	0
2015.07.15	2109.50	2114.90	2101.90	2111.20	16255	0	0
2015.07.16	2112.80	2125.50	2109.70	2123.10	13883	0	0
2015.07.17	2123.90	2127.10	2119.40	2125.60	10437	0	0
2015.07.20	2123.70	2133.40	2123.30	2128.40	9485	0	0
2015.07.21	2128.90	2131.90	2113.70	2115.00	12470	0	0
2015.07.22	2114.10	2118.70	2109.10	2116.50	13326	0	0
2015.07.23	2116.20	2120.40	2098.30	2108.00	15860	0	0
2015.07.24	2108.00	2110.80	2076.40	2080.50	16929	0	0
2015.07.27	2083.70	2087.50	2063.20	2071.30	22074	0	0
2015.07.28	2070.40	2095.80	2068.10	2095.30	21637	0	0
2015.07.29	2094.30	2110.80	2090.70	2106.80	20676	0	0
2015.07.30	2106.70	2111.00	2094.10	2110.30	18020	0	0
2015.07.31	2109.30	2116.00	2102.10	2105.30	16812	0	0
2015.08.03	2105.10	2108.90	2086.70	2098.10	22074	0	0
2015.08.04	2097.20	2102.80	2088.00	2090.60	22922	0	0
2015.08.05	2088.80	2112.80	2088.20	2100.10	19416	0	0
2015.08.06	2099.30	2104.30	2075.30	2085.10	18713	0	0
2015.08.07	2084.00	2087.80	2067.50	2078.30	21633	0	0
2015.08.10	2076.50	2106.30	2076.50	2105.50	14259	0	0
2015.08.11	2104.60	2106.50	2075.70	2085.50	25104	0	0
2015.08.12	2085.00	2089.60	2051.20	2088.30	35574	0	0
2015.08.13	2086.80	2097.30	2077.30	2085.30	25330	0	0
2015.08.14	2085.00	2092.80	2078.00	2092.30	20671	0	0
2015.08.17	2092.20	2104.60	2078.10	2102.80	17823	0	0
2015.08.18	2102.00	2107.30	2093.80	2096.70	18325	0	0
2015.08.19	2096.60	2101.40	2069.80	2076.60	28608	0	0
2015.08.20	2076.60	2081.20	2027.40	2029.20	35828	0	0
2015.08.21	2028.30	2031.90	1971.40	1971.90	56935	0	0
2015.08.24	1974.10	1974.10	1832.80	1878.00	151502	0	0
2015.08.25	1875.00	1952.20	1863.40	1872.80	135971	0	0
2015.08.26	1872.90	1946.30	1852.70	1940.30	140919	0	0
2015.08.27	1939.80	1993.30	1937.30	1992.00	89175	0	0
2015.08.28	1990.00	1995.60	1969.50	1987.90	75141	0	0
2015.08.31	1988.10	1990.20	1961.10	1968.50	65768	0	0
2015.09.01	1966.00	1969.40	1902.10	1916.10	37208	0	0
2015.09.02	1914.80	1951.60	1910.40	1950.60	31489	0	0
2015.09.03	1949.30	1975.30	1944.30	1949.00	24262	0	0
2015.09.04	1947.90	1951.50	1910.50	1920.00	27516	0	0
2015.09.07	1919.20	1946.50	1919.00	1931.70	13061	0	0
2015.09.08	1932.60	1970.40	1932.40	1967.40	18591	0	0
2015.09.09	1966.30	1993.50	1937.30	1943.90	20705	0	0
2015.09.10	1943.30	1968.70	1930.40	1951.90	24947	0	0
2015.09.11	1951.40	1960.90	1938.40	1959.90	17144	0	0
2015.09.14	1964.10	1975.10	1947.50	1954.00	18507	0	40
2015.09.15	1952.40	1983.10	1946.10	1981.40	19289	0	0
2015.09.16	1980.20	1999.20	1973.10	1997.70	13176	0	0
2015.09.17	1995.30	2021.50	1982.30	1986.80	20552	0	0
2015.09.18	1985.40	1993.00	1952.70	1957.50	20322	0	0
2015.09.21	1961.00	1980.20	1950.00	1975.00	16421	0	40
2015.09.22	1971.60	1976.20	1928.70	1940.90	18001	0	0
2015.09.23	1938.00	1952.60	1921.60	1943.00	17877	0	0
2015.09.24	1939.90	1946.90	1908.40	1930.70	26554	0	0
2015.09.25	1927.80	1961.40	1921.70	1931.90	23399	0	0
2015.09.28	1926.20	1939.90	1878.90	1884.90	25547	0	40
2015.09.29	1882.50	1899.60	1871.00	1884.30	27088	0	0
2015.09.30	1883.50	1920.20	1881.20	1912.50	21338	0	0
2015.10.01	1910.00	1939.00	1900.20	1927.40	22939	0	0
2015.10.02	1924.70	1951.50	1893.00	1951.20	24993	0	0
2015.10.05	1951.00	1989.70	1945.80	1985.10	17213	0	0
2015.10.06	1982.20	1992.00	1972.00	1973.70	18344	0	0
2015.10.07	1973.20	1999.60	1969.50	1997.10	20025	0	0
2015.10.08	1995.10	2017.00	1979.60	2014.00	19976	0	0
2015.10.09	2012.00	2022.00	2006.70	2014.50	14693	0	0
2015.10.12	2013.10	2021.60	2009.70	2020.20	9979	0	0
2015.10.13	2018.60	2022.50	1999.20	2000.20	12624	0	0
2015.10.14	1998.60	2009.40	1990.30	1992.80	14106	0	0
2015.10.15	1991.30	2026.70	1991.30	2026.20	15013	0	0
2015.10.16	2025.00	2033.70	2020.50	2033.00	12365	0	0
2015.10.19	2032.50	2035.70	2022.20	2035.00	11561	0	0
2015.10.20	2033.50	2039.20	2026.00	2027.70	10649	0	0
2015.10.21	2025.60	2042.00	2014.50	2017.70	12873	0	0
2015.10.22	2016.50	2062.30	2015.20	2062.30	13197	0	0
2015.10.23	2061.50	2080.80	2043.70	2075.60	13307	0	0
2015.10.26	2072.60	2074.60	2064.30	2068.60	10091	0	0
2015.10.27	2069.80	2071.30	2058.30	2068.90	9792	0	0
2015.10.28	2068.40	2091.50	2062.00	2088.00	14442	0	0
2015.10.29	2087.30	2092.80	2079.80	2089.90	10727	0	0
2015.10.30	2091.30	2101.00	2076.30	2080.00	11112	0	40
2015.11.02	2079.80	2106.30	2070.80	2099.80	8663	0	0
2015.11.03	2100.50	2116.50	2095.50	2108.80	7963	0	0
2015.11.04	2107.20	2115.40	2096.70	2102.20	10382	0	0
2015.11.05	2100.50	2110.30	2089.80	2100.80	10568	0	0
2015.11.06	2099.30	2104.00	2083.10	2099.20	12620	0	0
2015.11.09	2093.40	2101.50	2067.00	2077.30	10379	0	0
2015.11.10	2075.80	2083.70	2069.10	2081.70	10422	0	0
2015.11.11	2080.40	2091.90	2072.70	2073.40	10787	0	0
2015.11.12	2071.80	2081.90	2044.10	2044.80	11947	0	0
2015.11.13	2043.50	2050.30	2021.30	2022.60	13913	0	0
2015.11.16	2010.80	2054.90	2003.10	2053.20	14298	0	40
2015.11.17	2051.10	2066.80	2045.50	2053.30	11089	0	0
2015.11.18	2052.70	2085.50	2046.70	2081.90	11333	0	0
2015.11.19	2082.20	2093.20	2078.40	2082.10	10006	0	0
2015.11.20	2081.70	2097.30	2078.60	2089.30	8436	0	0
2015.11.23	2091.50	2095.80	2081.20	2086.20	7927	0	0
2015.11.24	2085.80	2094.20	2068.50	2086.70	10334	0	0
2015.11.25	2086.00	2095.20	2085.20	2091.20	7243	0	0
2015.11.26	2090.70	2101.10	2090.70	2097.70	4816	0	0
2015.11.27	2095.90	2098.20	2083.90	2092.20	6884	0	0
2015.11.30	2091.80	2097.10	2080.30	2086.80	7236	0	0
2015.12.01	2086.60	2103.50	2084.90	2101.80	8475	0	0
2015.12.02	2100.00	2106.10	2076.50	2084.80	9031	0	0
2015.12.03	2084.20	2096.50	2041.50	2055.00	17655	0	0
2015.12.04	2055.10	2094.30	2048.50	2090.80	14103	0	40
2015.12.07	2093.80	2096.80	2066.30	2082.20	12082	0	0
2015.12.08	2081.60	2082.70	2051.80	2061.80	13755	0	0
2015.12.09	2061.50	2080.90	2035.60	2046.60	18593	0	0
2015.12.10	2044.90	2068.00	2044.90	2051.70	15239	0	0
2015.12.11	2048.00	2057.00	2008.20	2011.70	18113	0	0
2015.12.14	2010.40	2028.90	1993.00	2021.00	17013	0	40
2015.12.15	2019.10	2054.50	2019.10	2046.20	9954	0	0
2015.12.16	2044.60	2077.20	2040.90	2068.50	10616	0	0
2015.12.17	2066.80	2081.00	2031.40	2031.70	10552	0	0
2015.12.18	2030.10	2038.20	2004.90	2004.90	11643	0	0
2015.12.21	2001.40	2028.70	2001.40	2027.50	8795	0	40
2015.12.22	2025.20	2045.40	2016.60	2042.90	8262	0	0
2015.12.23	2040.90	2065.20	2039.80	2060.70	6318	0	0
2015.12.24	2060.00	2067.30	2056.70	2058.40	3638	0	0
2015.12.28	2059.60	2062.30	2043.00	2058.50	6340	0	0
2015.12.29	2058.60	2081.90	2055.20	2081.00	5068	0	0
2015.12.30	2080.80	2082.10	2060.80	2063.20	4794	0	0
2015.12.31	2062.60	2065.20	2044.40	2058.60	6139	0	0
2016.01.04	2042.50	2051.10	1988.70	2018.00	12069	0	40
2016.01.05	2015.30	2025.20	2000.70	2018.70	10387	0	0
2016.01.06	2015.40	2020.80	1978.70	1994.70	12606	0	0
2016.01.07	1991.80	1998.70	1936.80	1942.00	17257	0	0
2016.01.08	1940.20	1972.30	1918.20	1921.50	16981	0	0
2016.01.11	1917.20	1936.50	1900.50	1920.30	17417	0	40
2016.01.12	1918.20	1947.80	1906.80	1930.60	16071	0	0
2016.01.13	1928.00	1954.00	1885.80	1890.80	15511	0	0
2016.01.14	1888.50	1934.60	1879.00	1919.60	18094	0	0
2016.01.15	1917.70	1927.90	1857.30	1879.50	19609	0	0
2016.01.18	1877.00	1897.50	1867.50	1880.40	12411	0	40
2016.01.19	1878.30	1915.00	1864.00	1879.20	18721	0	0
2016.01.20	1877.00	1885.70	1811.50	1859.30	22054	0	0
2016.01.21	1858.30	1890.30	1843.50	1868.50	27194	0	0
2016.01.22	1866.50	1909.00	1863.00	1906.50	25446	0	0
2016.01.25	1906.50	1911.00	1875.00	1879.20	22202	0	40
2016.01.26	1876.60	1906.60	1858.70	1895.10	22711	0	0
2016.01.27	1892.90	1916.90	1871.70	1884.90	25857	0	0
2016.01.28	1882.60	1909.30	1872.80	1888.90	30405	0	0
2016.01.29	1886.60	1938.60	1883.70	1938.50	24687	0	0
2016.02.01	1936.40	1947.20	1919.50	1936.00	21538	0	40
