<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.24	26290.50	26310.80	25554.84	26200.78	67459	0	900
2022.02.25	26335.51	26992.67	26208.64	26957.65	47094	0	900
2022.02.28	26318.34	26909.62	26263.17	26696.97	48123	0	900
2022.03.01	26903.92	27014.96	26315.63	26465.64	41470	0	900
2022.03.02	26536.01	26696.77	26188.40	26639.26	42762	0	900
2022.03.03	26650.52	26685.55	26275.72	26388.22	33332	0	900
2022.03.04	26126.53	26175.24	25707.86	25832.86	49173	0	900
2022.03.07	25308.99	25515.28	24942.92	24955.41	49566	0	900
2022.03.08	25154.34	25300.10	24500.64	24711.89	53116	0	900
2022.03.09	24947.86	25446.69	24676.01	25374.16	33329	0	900
2022.03.10	25458.66	25763.74	25194.12	25299.15	39468	0	900
2022.03.11	25370.18	25750.35	24962.50	25122.57	39453	0	900
2022.03.14	25281.41	25636.84	25184.58	25299.60	38381	0	900
2022.03.15	25338.60	25714.05	25074.26	25594.01	38101	0	900
2022.03.16	25690.52	26377.37	25459.17	26332.35	38287	0	900
2022.03.17	26348.48	26775.47	26320.97	26712.95	34770	0	900
2022.03.18	26641.90	27309.00	26579.37	27271.50	29021	0	900
2022.03.21	27273.00	27374.00	27149.00	27314.00	15258	0	900
2022.03.22	27300.50	27715.71	27118.00	27670.72	23852	0	900
2022.03.23	27669.73	28101.39	27589.32	27594.32	27527	0	900
2022.03.24	27665.83	28337.88	27618.50	28322.88	27469	0	900
2022.03.25	28301.87	28346.87	27945.19	28270.07	28515	0	900
2022.03.28	28214.01	28261.69	27807.46	28241.69	28761	0	900
2022.03.29	28225.68	28643.36	28034.20	28523.30	27670	0	900
2022.03.30	28258.44	28318.46	27666.62	27786.66	29390	0	900
2022.03.31	27773.14	28101.72	27516.91	27546.91	27136	0	900
2022.04.01	27590.91	27860.53	27389.55	27708.01	27704	0	900
2022.04.04	27654.46	28025.54	27571.96	27975.53	18936	0	900
2022.04.05	27924.50	27977.01	27430.24	27510.24	20545	0	900
2022.04.06	27526.74	27559.24	26981.76	27104.26	27462	0	900
2022.04.07	27065.76	27205.57	26786.49	27050.58	25146	0	900
2022.04.08	27079.58	27184.68	26756.80	26988.38	21543	0	900
2022.04.11	26977.40	26995.91	26699.38	26711.28	23417	0	900
2022.04.12	26667.78	26682.78	26241.58	26306.35	29112	0	900
2022.04.13	26367.85	26981.81	26340.34	26919.31	22202	0	900
2022.04.14	26913.30	27307.21	26855.79	26894.65	19742	0	900
2022.04.18	26882.28	27026.19	26563.92	26936.15	19777	0	900
2022.04.19	26957.64	27268.20	26769.71	27168.18	23541	0	900
2022.04.20	27212.18	27392.11	27062.75	27216.00	24245	0	900
2022.04.21	27259.99	27754.28	27129.13	27156.64	25591	0	900
2022.04.22	27078.11	27231.07	26708.39	26713.39	30842	0	900
2022.04.25	26674.58	26819.81	26402.21	26794.80	43161	0	900
2022.04.26	26866.29	26886.30	25967.27	26009.78	33200	0	900
2022.04.27	26106.28	26582.46	26043.98	26384.89	42867	0	900
2022.04.28	26463.89	27378.24	26329.06	27185.66	34501	0	900
2022.04.29	27169.63	27460.50	26689.00	26771.50	21096	0	900
2022.05.02	26683.00	26943.00	26548.00	26854.00	39801	0	900
2022.05.03	26865.50	27104.00	26753.00	27061.50	22428	0	900
2022.05.04	27088.00	27474.00	26774.00	27416.50	15859	0	900
2022.05.05	27403.00	27445.50	26574.00	26751.50	26312	0	900
2022.05.06	26718.00	27113.00	26533.00	26835.99	44108	0	900
2022.05.09	26707.35	26747.35	25922.47	26027.48	40835	0	900
2022.05.10	26048.97	26326.21	25768.98	26083.67	46095	0	900
2022.05.11	26087.66	26379.19	25809.19	25871.69	42517	0	900
2022.05.12	25848.19	26026.59	25527.46	25787.46	49158	0	900
2022.05.13	25806.44	26679.82	25806.44	26642.27	32755	0	900
2022.05.16	26770.84	26870.86	26416.79	26476.79	34508	0	900
2022.05.17	26488.29	26865.28	26430.73	26827.78	27885	0	900
2022.05.18	26846.77	27053.11	26227.73	26242.73	29689	0	900
2022.05.19	26221.70	26553.05	26077.97	26367.91	44167	0	900
2022.05.20	26381.85	26933.99	26358.71	26706.24	35204	0	900
2022.05.23	26919.77	27139.70	26827.50	27097.19	34662	0	900
2022.05.24	26966.18	27053.68	26502.80	26695.31	32196	0	900
2022.05.25	26784.32	26873.70	26486.22	26783.69	31302	0	900
2022.05.26	26807.67	27016.68	26581.72	26911.71	25535	0	900
2022.05.27	26938.23	27152.79	26721.83	27142.79	21423	0	900
2022.05.30	27169.49	27409.93	27049.53	27328.65	13898	0	900
2022.05.31	27300.22	27465.17	27120.20	27182.77	30292	0	900
2022.06.01	27221.82	27607.92	27209.33	27467.96	28332	0	900
2022.06.02	27436.98	27770.52	27248.22	27740.52	24286	0	900
2022.06.03	27752.09	27791.21	27507.67	27567.86	23951	0	900
2022.06.06	27581.53	28104.87	27509.21	28002.86	24136	0	900
2022.06.07	28014.64	28209.15	27854.29	28184.15	27011	0	900
2022.06.08	28160.65	28270.59	28078.14	28137.99	24140	0	900
2022.06.09	28154.49	28387.95	27942.95	27977.95	29487	0	900
2022.06.10	28071.95	28096.95	27296.78	27404.29	34001	0	900
2022.06.13	27270.66	27270.66	26359.37	26446.90	36249	0	900
2022.06.14	26460.89	26730.94	26298.92	26438.96	37866	0	900
2022.06.15	26487.96	26684.77	26187.09	26549.71	36283	0	900
2022.06.16	26666.24	26950.14	25597.75	25687.78	39474	0	900
2022.06.17	25756.79	26143.16	25660.91	25990.93	38517	0	148
2022.06.20	26112.20	26214.74	25505.86	26043.27	23632	0	900
2022.06.21	26052.23	26518.42	25998.82	26508.42	26026	0	900
2022.06.22	26482.42	26492.42	25984.57	26259.35	30915	0	900
2022.06.23	26153.31	26404.48	26014.81	26211.59	35089	0	900
2022.06.24	26223.08	26930.05	26128.87	26875.02	23255	0	900
2022.06.27	26901.18	26995.90	26662.42	26770.00	27751	0	900
2022.06.28	26768.98	27277.85	26713.97	26807.63	28411	0	900
2022.06.29	26786.28	26865.15	26627.51	26720.05	30094	0	900
2022.06.30	26721.53	26749.03	26144.34	26381.92	34158	0	900
2022.07.01	26383.39	26528.46	25788.85	26331.68	36950	0	900
2022.07.04	26282.62	26293.96	25946.51	26266.27	20295	0	900
2022.07.05	26430.30	26537.69	25909.31	26231.89	34554	0	900
2022.07.06	26208.36	26350.70	26000.37	26283.15	34182	0	900
2022.07.07	26309.63	26700.39	26125.26	26660.34	25001	0	900
2022.07.08	26634.29	26880.52	26417.76	26800.13	32731	0	900
2022.07.11	26806.35	27059.80	26588.19	26625.71	27184	0	900
2022.07.12	26617.18	26707.51	26250.05	26457.45	26258	0	900
2022.07.13	26433.91	26555.94	26215.86	26485.89	29725	0	900
2022.07.14	26417.36	26767.84	26304.17	26718.02	30387	0	900
2022.07.15	26762.02	26995.50	26563.02	26988.00	23314	0	900
2022.07.18	27029.50	27228.00	26893.00	26938.00	10428	0	900
2022.07.19	26899.50	27405.39	26774.50	27392.88	19661	0	900
2022.07.20	27396.87	27755.22	27364.29	27596.13	24779	0	900
2022.07.21	27570.11	27895.63	27541.71	27858.13	25272	0	900
2022.07.22	27814.61	27969.59	27579.53	27662.04	23642	0	900
2022.07.25	27705.91	27848.44	27635.96	27773.46	22530	0	900
2022.07.26	27684.96	27718.88	27414.78	27459.78	19425	0	900
2022.07.27	27588.78	28066.93	27511.43	28006.93	20965	0	900
2022.07.28	27991.76	28026.77	27605.60	27883.11	21877	0	900
2022.07.29	27929.61	28014.61	27718.85	27974.88	21584	0	900
2022.08.01	27913.88	28076.04	27740.81	27905.92	20631	0	900
2022.08.02	27874.89	27923.18	27528.82	27743.14	24752	0	900
2022.08.03	27814.64	28027.20	27627.31	27977.19	19432	0	900
2022.08.04	27998.69	28075.89	27820.88	27875.87	18668	0	900
2022.08.05	27872.37	28232.77	27829.87	28122.69	18669	0	900
2022.08.08	28058.69	28328.88	28031.18	28143.82	19066	0	900
2022.08.09	28187.81	28202.81	27792.33	27847.33	18153	0	900
2022.08.10	27846.32	28135.00	27723.81	28125.00	15138	0	900
2022.08.11	28121.50	28240.00	28037.50	28145.00	9783	0	900
2022.08.12	28164.00	28716.22	28126.50	28711.23	15552	0	900
2022.08.15	28718.42	28905.59	28630.59	28870.59	13687	0	900
2022.08.16	28847.08	29001.34	28747.08	28931.39	15477	0	900
2022.08.17	28925.44	29227.17	28890.79	29000.84	19842	0	900
2022.08.18	28939.91	29136.52	28841.98	29091.53	16972	0	900
2022.08.19	29090.55	29140.65	28675.67	28728.17	16642	0	900
2022.08.22	28659.87	28840.63	28438.49	28485.99	18014	0	900
2022.08.23	28494.97	28588.99	28383.02	28463.91	20207	0	900
2022.08.24	28477.88	28532.50	28257.66	28467.46	18440	0	900
2022.08.25	28478.94	28687.65	28354.35	28662.65	17009	0	900
2022.08.26	28676.67	28793.79	28201.22	28206.22	22071	0	900
2022.08.29	27978.36	28165.23	27779.53	28040.15	25554	0	900
2022.08.30	28053.10	28340.14	27849.83	27934.78	23285	0	900
2022.08.31	27918.69	28123.02	27808.60	27853.58	25588	0	900
2022.09.01	27719.98	27822.50	27539.90	27764.88	25221	0	900
2022.09.02	27776.36	27892.78	27447.83	27512.83	25707	0	900
2022.09.05	27507.25	27707.31	27489.75	27684.70	15622	0	900
2022.09.06	27693.43	27808.36	27512.40	27552.39	26635	0	900
2022.09.07	27583.89	27738.40	27261.30	27710.88	22498	0	900
2022.09.08	27719.87	28115.48	27712.36	28100.48	24907	0	900
2022.09.09	28134.48	28424.91	28084.04	28409.91	18112	0	900
2022.09.12	28458.89	28650.18	28433.95	28550.21	15839	0	900
2022.09.13	28579.21	28669.17	27829.17	27849.17	20707	0	900
2022.09.14	27843.17	28047.46	27755.68	27949.04	25574	0	900
2022.09.15	27948.02	27955.53	27654.33	27714.33	21248	0	900
2022.09.16	27570.48	27644.42	27419.00	27541.50	22613	0	900
2022.09.19	27553.00	27751.50	27344.00	27734.00	11706	0	900
2022.09.20	27745.50	27908.00	27315.15	27462.65	19549	0	900
2022.09.21	27411.65	27670.64	27160.51	27175.51	26356	0	900
2022.09.22	27039.47	27391.50	26899.00	27051.50	29460	0	900
2022.09.23	27045.50	27070.50	26469.00	26619.00	22142	0	900
2022.09.26	26620.50	26733.00	26415.09	26554.96	33132	0	900
2022.09.27	26568.95	26676.24	26261.33	26421.34	31135	0	900
2022.09.28	26420.34	26746.41	25896.12	26681.44	43977	0	900
2022.09.29	26432.29	26472.27	26004.13	26146.60	37194	0	900
2022.09.30	26173.11	26246.85	25798.00	25944.16	41911	0	900
2022.10.03	25895.24	26710.90	25617.41	26605.84	32803	0	900
2022.10.04	26624.82	27191.86	26614.82	27156.84	26106	0	900
2022.10.05	27133.30	27195.91	26835.74	27090.81	27311	0	900
2022.10.06	27092.29	27403.15	26988.33	27023.33	29981	0	900
2022.10.07	27029.81	27194.40	26646.50	26724.00	29295	0	900
2022.10.10	26578.00	26749.00	26488.00	26674.00	25169	0	900
2022.10.11	26695.50	26730.50	26279.36	26361.85	36255	0	900
2022.10.12	26343.32	26496.10	26291.29	26360.03	36080	0	900
2022.10.13	26391.52	26827.55	25857.28	26777.53	35792	0	900
2022.10.14	26799.02	27177.79	26600.20	26612.70	39832	0	900
2022.10.17	26613.96	27113.39	26596.46	27090.88	29174	0	900
2022.10.18	27177.38	27302.30	26904.14	27152.26	31890	0	900
2022.10.19	27253.77	27369.20	26902.14	27039.67	32092	0	900
2022.10.20	26976.12	27293.77	26867.96	27053.63	34758	0	900
2022.10.21	26927.56	27120.95	26788.37	27113.39	31494	0	900
2022.10.24	27252.02	27382.07	26853.88	27138.81	35541	0	900
2022.10.25	27190.31	27556.24	27077.85	27491.22	25241	0	900
2022.10.26	27417.68	27627.53	27372.41	27412.42	27339	0	900
2022.10.27	27448.91	27478.91	26928.69	26961.20	28542	0	900
2022.10.28	27082.71	27511.41	26973.36	27511.41	25771	0	900
2022.10.31	27477.51	27584.83	27400.13	27534.56	23468	0	900
2022.11.01	27591.05	27774.02	27498.87	27558.86	23271	0	900
