<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.14	12993.44	13068.75	12953.20	12961.20	62890	0	70
2020.10.15	12964.16	12994.31	12597.61	12743.96	84021	0	70
2020.10.16	12749.44	12956.85	12708.30	12898.69	65820	0	70
2020.10.19	12900.37	13030.34	12722.55	12785.35	68747	0	70
2020.10.20	12791.39	12851.83	12680.55	12714.85	84390	0	70
2020.10.21	12748.37	12819.66	12535.63	12551.03	90340	3797	0
2020.10.22	12545.07	12604.09	12343.05	12591.65	85511	0	70
2020.10.23	12610.96	12719.17	12505.49	12663.72	71544	0	20
2020.10.26	12606.42	12618.65	12089.61	12209.20	105722	0	70
2020.10.27	12203.54	12279.13	11940.73	11946.48	95686	0	70
2020.10.28	11944.14	11961.59	11455.89	11531.17	126592	0	70
2020.10.29	11535.87	11709.20	11456.32	11591.92	108315	0	70
2020.10.30	11575.07	11643.49	11328.19	11627.72	111809	0	70
2020.11.02	11582.14	11837.14	11507.63	11800.84	96946	0	70
2020.11.03	11803.96	12189.20	11795.44	12150.89	83363	0	70
2020.11.04	12165.18	12364.21	11783.50	12274.23	121463	0	70
2020.11.05	12297.96	12592.00	12230.32	12550.06	86860	0	70
2020.11.06	12537.72	12594.57	12368.58	12480.25	82464	0	70
2020.11.09	12539.54	13297.35	12526.80	12985.47	98426	0	70
2020.11.10	13001.49	13240.01	12871.00	13169.50	111765	0	70
2020.11.11	13176.00	13251.03	13093.90	13240.26	84804	0	70
2020.11.12	13242.10	13242.10	12936.29	12989.90	87651	0	70
2020.11.13	12984.72	13141.89	12927.39	13118.07	68178	0	70
2020.11.16	13167.53	13280.34	13077.21	13148.87	79497	0	70
2020.11.17	13138.88	13169.68	13049.04	13121.91	70903	0	70
2020.11.18	13127.82	13214.60	13071.38	13096.72	65892	0	70
2020.11.19	13102.22	13148.55	13032.69	13087.08	69463	0	70
2020.11.20	13074.17	13172.27	13039.86	13128.34	65372	0	70
2020.11.23	13143.13	13313.78	13123.24	13185.13	65742	0	70
2020.11.24	13184.19	13345.37	13183.27	13335.53	63842	0	70
2020.11.25	13330.01	13373.83	13234.07	13301.14	64571	0	70
2020.11.26	13304.79	13334.61	13250.44	13275.41	37228	0	70
2020.11.27	13279.03	13368.73	13240.72	13367.98	49126	0	70
2020.11.30	13386.95	13447.08	13225.18	13318.62	79092	0	70
2020.12.01	13308.74	13436.23	13292.86	13372.38	69866	0	70
2020.12.02	13377.64	13400.20	13269.38	13304.83	61697	0	70
2020.12.03	13307.08	13327.37	13180.05	13202.50	56957	0	70
2020.12.04	13203.84	13317.22	13196.69	13296.30	55351	0	70
2020.12.07	13304.38	13309.97	13160.48	13238.72	59768	0	70
2020.12.08	13244.29	13316.96	13197.37	13309.18	51100	0	70
2020.12.09	13327.14	13457.08	13281.94	13338.08	66597	0	70
2020.12.10	13332.62	13371.29	13210.08	13281.20	69111	0	70
2020.12.11	13296.58	13310.52	13007.29	13145.72	67589	0	70
2020.12.14	13184.33	13294.72	13139.32	13207.90	60973	0	70
2020.12.15	13214.68	13430.16	13178.62	13419.06	56646	0	70
2020.12.16	13426.46	13597.15	13379.68	13575.39	53514	0	70
2020.12.17	13580.86	13736.02	13551.03	13680.16	39986	0	70
2020.12.18	13676.94	13774.64	13599.13	13650.54	58348	0	70
2020.12.21	13633.55	13638.16	13049.38	13370.61	51874	0	70
2020.12.22	13371.06	13440.65	13233.97	13406.67	32034	0	70
2020.12.23	13401.20	13621.20	13330.50	13613.76	28527	0	70
2020.12.28	13648.50	13827.10	13611.50	13780.37	17281	0	70
2020.12.29	13786.83	13904.85	13690.59	13724.20	27586	0	70
2020.12.30	13724.04	13796.22	13652.33	13657.75	22917	0	70
2021.01.04	13696.00	13919.60	13592.81	13688.60	47302	0	70
2021.01.05	13683.85	13769.21	13564.53	13697.79	44529	0	70
2021.01.06	13701.00	13935.28	13615.04	13871.55	59307	0	70
2021.01.07	13889.60	14008.37	13853.20	13985.90	36423	0	70
2021.01.08	13989.58	14134.33	13978.59	14087.34	38008	0	80
2021.01.11	14093.46	14094.38	13804.58	13931.99	40268	0	70
2021.01.12	13943.47	14002.23	13840.39	13914.89	37680	0	70
2021.01.13	13916.72	13979.04	13866.76	13951.91	35000	0	70
2021.01.14	13959.24	14029.31	13940.45	13961.86	34293	0	70
2021.01.15	13974.67	13994.17	13670.68	13764.00	46075	0	70
2021.01.18	13754.19	13911.19	13689.14	13892.17	26518	0	70
2021.01.19	13873.33	13959.08	13801.97	13860.20	35850	0	80
2021.01.20	13865.67	13966.15	13793.82	13941.87	32596	0	70
2021.01.21	13942.77	14026.10	13869.62	13935.95	32262	0	70
2021.01.22	13937.30	13943.64	13742.31	13874.38	41656	0	70
2021.01.25	13893.70	13956.01	13597.56	13721.49	59222	0	70
2021.01.26	13713.90	13929.99	13587.29	13897.26	45796	0	70
2021.01.27	13887.76	13909.37	13411.21	13498.59	73742	0	70
2021.01.28	13495.89	13717.99	13310.13	13611.76	78844	0	70
2021.01.29	13613.11	13638.01	13367.03	13419.94	90229	0	70
2021.02.01	13327.38	13684.46	13260.86	13661.71	54856	0	70
2021.02.02	13664.43	13884.10	13630.82	13883.19	47842	0	70
2021.02.03	13889.99	13988.08	13858.41	13979.98	43730	0	70
2021.02.04	13985.00	14078.19	13904.27	14066.91	38113	0	70
2021.02.05	14055.08	14113.85	14012.29	14064.96	34722	0	70
2021.02.08	14087.22	14190.37	14042.47	14086.15	32302	0	70
2021.02.09	14083.13	14087.31	13958.84	14041.30	31449	0	70
2021.02.10	14045.22	14098.25	13827.39	13928.28	45469	0	70
2021.02.11	13931.05	14053.21	13901.10	14017.42	38767	0	70
